Date,Followers,,Following,,Engagement,
2019-01-07,815,+1,363,0,3.59,+0.029999999999999805%
2019-01-06,814,-1,363,0,3.56,-0.19999999999999973%
2019-01-05,815,+1,363,+1,3.76,0.0%
2019-01-04,814,+1,362,0,3.76,+0.019999999999999574%
2019-01-03,813,-1,362,0,3.74,+0.010000000000000231%
2019-01-02,814,-2,362,0,3.73,+0.08000000000000007%
2019-01-01,816,+1,362,0,3.65,-0.07000000000000028%
2018-12-31,815,-1,362,0,3.72,0.0%
2018-12-30,816,+1,362,0,3.72,+0.020000000000000018%
2018-12-29,815,+1,362,0,3.70,+0.020000000000000018%
2018-12-28,814,-1,362,-1,3.68,+0.020000000000000018%
2018-12-27,815,-1,363,-1,3.66,+0.03000000000000025%
2018-12-27,816,-,364,-,3.63,-
