Date,Followers,,Following,,Engagement,
2019-01-07,2005,+18,3045,+55,6.22,-1.4100000000000001%
2019-01-06,1987,+16,2990,+88,7.63,0.0%
2019-01-05,1971,+27,2902,+272,7.63,+0.03000000000000025%
2019-01-04,1944,+28,2630,+285,7.60,-0.2600000000000007%
2019-01-03,1916,+24,2345,+227,7.86,-0.02999999999999936%
2019-01-02,1892,+7,2118,+171,7.89,-0.010000000000000675%
2019-01-01,1885,+2,1947,+32,7.90,0.0%
2018-12-31,1883,+25,1915,-166,7.90,-0.08000000000000007%
2018-12-30,1858,+37,2081,+216,7.98,-0.10999999999999943%
2018-12-29,1821,+18,1865,+184,8.09,+0.019999999999999574%
2018-12-28,1803,+23,1681,+8,8.07,-0.07000000000000028%
2018-12-27,1780,-4,1673,-1,8.14,+0.040000000000000924%
2018-12-27,1784,-,1674,-,8.10,-
